id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta
148,br:tribunal.superior.eleitoral:acordao;aaim,AAIM,pt-BR,"Agravo Regimental em Ação de Impugnação de Mandato",#acordao,AAIM – Agravo Regimental em Ação de Impugnação de Mandato,Jurisprudência::Acórdão
149,br:tribunal.superior.eleitoral:acordao;aamc,AAMC,pt-BR,"Agravo Regimental em Agravo Regimental em Medida Cautelar",#acordao,AAMC – Agravo Regimental em Agravo Regimental em Medida Cautelar,Jurisprudência::Acórdão
150,br:tribunal.superior.eleitoral:acordao;aams,AAMS,pt-BR,"Agravo Regimental em Agravo Regimental em Mandado de Segurança",#acordao,AAMS – Agravo Regimental em Agravo Regimental em Mandado de Segurança,Jurisprudência::Acórdão
151,br:tribunal.superior.eleitoral:acordao;aar,AAR,pt-BR,"Agravo Regimental em Ação Rescisória",#acordao,AAR – Agravo Regimental em Ação Rescisória,Jurisprudência::Acórdão
152,br:tribunal.superior.eleitoral:acordao;aarespe,AARESPE,pt-BR,"Agravo Regimental em Agravo Regimental em Recurso Especial Eleitoral",#acordao,AARESPE – Agravo Regimental em Agravo Regimental em Recurso Especial Eleitoral,Jurisprudência::Acórdão
153,br:tribunal.superior.eleitoral:acordao;aarp,AARP,pt-BR,"Agravo Regimental em Agravo Regimental em Representação",#acordao,AARP – Agravo Regimental em Agravo Regimental em Representação,Jurisprudência::Acórdão
154,br:tribunal.superior.eleitoral:acordao;ac,AC,pt-BR,"Ação Cautelar",#acordao,AC – Ação Cautelar,Jurisprudência::Acórdão
155,br:tribunal.superior.eleitoral:acordao;acp,ACP,pt-BR,"Agravo Regimental em Cancelamento de Partido",#acordao,ACP – Agravo Regimental em Cancelamento de Partido,Jurisprudência::Acórdão
156,br:tribunal.superior.eleitoral:resolucao;acta,ACTA,pt-BR,"Agravo Regimental em Consulta",#resolucao,ACTA – Agravo Regimental em Consulta,Legislação::Resolução
157,br:tribunal.superior.eleitoral:resolucao;ac,AC,pt-BR,"Ação Cautelar",#resolucao,AC – Ação Cautelar,Legislação::Resolução
158,br:tribunal.superior.eleitoral:acordao;aeag,AEAG,pt-BR,"Agravo Regimental em Embargos de Declaração em Agravo de Instrumento",#acordao,AEAG – Agravo Regimental em Embargos de Declaração em Agravo de Instrumento,Jurisprudência::Acórdão
159,br:tribunal.superior.eleitoral:acordao;aeapa,AEAPA,pt-BR,"Agravo Regimental em Embargos de Declaração em Agravo Regimental em Processo Administrativo",#acordao,AEAPA – Agravo Regimental em Embargos de Declaração em Agravo Regimental em Processo Administrativo,Jurisprudência::Acórdão
160,br:tribunal.superior.eleitoral:acordao;aearespe,AEARESPE,pt-BR,"Agravo Regimental em Embargos de Declaração em Agravo Regimental em Recurso Especial Eleitoral",#acordao,AEARESPE – Agravo Regimental em Embargos de Declaração em Agravo Regimental em Recurso Especial Eleitoral,Jurisprudência::Acórdão
161,br:tribunal.superior.eleitoral:acordao;aeeag,AEEAG,pt-BR,"Agravo Regimental em Embargos de Declaração em Embargos de Declaração em Agravo de Instrumento",#acordao,AEEAG – Agravo Regimental em Embargos de Declaração em Embargos de Declaração em Agravo de Instrumento,Jurisprudência::Acórdão
162,br:tribunal.superior.eleitoral:acordao;aeear,AEEAR,pt-BR,"Agravo Regimental em Embargos de Declaração em Embargos de Declaração em Ação Rescisória",#acordao,AEEAR – Agravo Regimental em Embargos de Declaração em Embargos de Declaração em Ação Rescisória,Jurisprudência::Acórdão
163,br:tribunal.superior.eleitoral:acordao;aeerms,AEERMS,pt-BR,"Agravo Regimental em Embargos de Declaração em Embargos de Declaração em Recurso em Mandado de Segurança",#acordao,AEERMS – Agravo Regimental em Embargos de Declaração em Embargos de Declaração em Recurso em Mandado de Segurança,Jurisprudência::Acórdão
164,br:tribunal.superior.eleitoral:acordao;aelt,AELT,pt-BR,"Agravo Regimental em Encaminhamento de Lista Tríplice",#acordao,AELT – Agravo Regimental em Encaminhamento de Lista Tríplice,Jurisprudência::Acórdão
165,br:tribunal.superior.eleitoral:acordao;aemc,AEMC,pt-BR,"Agravo Regimental em Embargos de Declaração em Medida Cautelar",#acordao,AEMC – Agravo Regimental em Embargos de Declaração em Medida Cautelar,Jurisprudência::Acórdão
166,br:tribunal.superior.eleitoral:resolucao;aep,AEP,pt-BR,"Apuração de Eleição Presidencial",#resolucao,AEP – Apuração de Eleição Presidencial,Legislação::Resolução
167,br:tribunal.superior.eleitoral:acordao;aepet,AEPET,pt-BR,"Agravo Regimental em Embargos de Declaração em Petição",#acordao,AEPET – Agravo Regimental em Embargos de Declaração em Petição,Jurisprudência::Acórdão
168,br:tribunal.superior.eleitoral:acordao;aerespe,AERESPE,pt-BR,"Agravo Regimental em Embargos de Declaração em Recurso Especial Eleitoral",#acordao,AERESPE – Agravo Regimental em Embargos de Declaração em Recurso Especial Eleitoral,Jurisprudência::Acórdão
